PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;108899.05;0.125;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3529861.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1654570.00;1.000;30; ;TÉCNICO EN ADMISIÓN ESTUDIANTIL                                                                                                                                                                                                                                 
PROFESIONAL C;3456126.00;1.000;27; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;667538.50;0.500;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5050820.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1445907.00;1.000;35; ;OPERADOR DE CENTRAL TELEFÓNICA                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1410825.00;1.000;27; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INTERINO;3643190.50;1.250;27; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3450667.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2037594.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2619847.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1654570.00;1.000;31; ;TÉCNICO DE LABORATORIO DE BOTÁNICA Y MICOLOGÍA                                                                                                                                                                                                                  
PROFESOR INTERINO LICENCIADO           ;1748069.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1445115.50;0.500;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2056000.85;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5127997.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1469639.00;1.000;34; ;ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;638551.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1014076.00;0.500;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;647925.50;0.500;10; ;PUESTO NO ADMINISTRATIVO
JEFE B;4229158.00;1.000;33; ;JEFE DE AUDITORÍA                                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;2401476.00;1.000;37; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1260962.50;0.500;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2409210.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3133029.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2438946.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1168628.00;1.000;26; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;4443272.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;163687.30;0.125;12; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;3143284.00;1.000;36; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1255075.60;1.000;27; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      
PROFESOR CATEDRATICO                   ;3845768.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2239824.00;1.000;29; ;PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  
PROFESOR INSTRUCTOR                    ;583779.25;0.250;22; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2082216.00;1.000;35; ;TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5013976.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1309200.00;1.000;26; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1939603.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1353042.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;8605383.00;1.000;51; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1675760.00;1.000;34; ;TÉCNICO EN SERVICIOS MULTIMEDIA E INFORMÁTICOS                                                                                                                                                                                                                  
TRABAJADOR OPERATIVO C;1735393.00;1.000;28; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;2094858.75;1.000;16; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1834446.00;1.000;26; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;464927.75;0.250;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2035597.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1396407.00;1.000;37; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;6022186.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;6499637.00;1.000;38; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4158261.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;3955135.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
MIEMBRO CONSEJO UNIVERSITARIO;4716463.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;165506.90;0.125;25; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1374582.00;1.000;21; ;TÉCNICO EN APOYO A LOS PROCESOS DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;614219.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3195039.00;1.000;26; ;PROFESIONAL EN AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                             
PROFESOR CATEDRATICO                   ;4535038.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4242954.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3185555.00;1.000;30; ;PROFESIONAL COORDINADOR DE OBRAS DE INFRAESTRUCTURAS                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;186003.40;0.125;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;4506500.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4276371.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;694995.50;0.500;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1998145.00;1.000;34; ;TÉCNICO DE LABORATORIO EN BROMATOLOGÍA                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1406968.00;1.000;34; ;ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            
PROFESOR ASOCIADO                      ;3113647.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3510517.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1432101.00;1.000;29; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;433763.00;0.250;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2179743.00;0.500;34; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;2796542.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2500057.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1998145.00;1.000;33; ;TÉCNICO EN BECAS Y BENEFICIOS COMPLEMENTARIOS DE SEDE                                                                                                                                                                                                           
VICERRECTOR;6805584.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3559087.00;1.000;38; ;PROFESIONAL EN GESTIÓN ADMINISTRATIVA Y DE PROYECTOS DEL CIEDES                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;1970121.00;1.000;33; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL B;3325216.00;1.000;38; ;PROFESIONAL EN APOYO DE EVALUACIÓN DE PLANES UNIVERSITARIOS                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;28514.45;0.063;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3256117.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3827238.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;542751.00;0.500;11; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1487758.00;1.000;17; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1234394.00;1.000;28; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO B;1174550.70;1.000;28; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA MOLECULAR                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;1927297.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2959173.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4013574.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2916817.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1572473.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1410825.00;1.000;25; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1409474.00;1.000;31; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;34309.35;0.125;4;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1313253.00;0.750;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1927930.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;1655165.00;1.000;6; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN EN SISMOLOGÍA                                                                                                                                                                                                           
PROFESIONAL B;3171071.00;1.000;39; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
PROFESIONAL C;2260654.50;1.000;27; ;PROFESIONAL EDITOR DE REVISTA DE BIOLOGÍA TROPICAL                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1971008.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2197786.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2180328.00;1.000;26; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;2972702.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;404972.25;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;370692.00;0.250;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3158108.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2166286.00;1.000;39; ;TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;319441.00;0.250;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;426984.75;0.250;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2084141.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;114038.20;0.125;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2462349.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2748115.00;1.000;28; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN MICROBIOLÓGICA                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;2704939.50;0.750;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1453378.00;1.000;26; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;1892681.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
DECANO;5086965.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO EDUCACION SUPERIOR;1348733.00;0.500;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;174365.15;0.125;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;220712.15;0.125;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;250142.80;0.125;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3573505.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3228413.00;1.000;31; ;PROFESIONAL COORDINADOR DE GESTIÓN DE PAGO                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;1912005.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2200484.00;1.000;27; ;PROFESIONAL EN CONSULTORÍA JURÍDICA                                                                                                                                                                                                                             
PROFESOR INSTRUCTOR                    ;1986137.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1469639.00;1.000;36; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE A;4373957.00;1.000;35; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE B;4757539.00;1.000;35; ;JEFE DE AUDITORÍA                                                                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;4050413.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1719502.00;1.000;28; ;TÉCNICO DE LABORATORIO EN ESPECTROMETRÍA GAMMA                                                                                                                                                                                                                  
PROFESIONAL C;3036161.75;1.000;20; ;PENDIENTE                                                                                                                                                                                                                                                       
DIRECTOR CENTRO REGIONAL;3035684.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;2571664.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3713947.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3485557.00;1.000;37; ;PROFESIONAL EN ELABORACIÓN DE SOFTWARE EDUCATIVO                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;4753150.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4317540.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2370006.00;1.000;32; ;PROFESIONAL EN GESTIÓN INTEGRAL DE PAGO                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1304442.00;1.000;21; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESIONAL A;2925920.00;1.000;37; ;PROFESIONAL EN MANTENIMIENTO DE EQUIPO ELECTRÓNICO                                                                                                                                                                                                              
JEFE A;3660353.00;1.000;35; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;3817312.50;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2340226.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1389419.00;1.000;31; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESIONAL A;2182199.00;1.000;19; ;PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL A;1489694.00;1.000;37; ;BODEGUERO                                                                                                                                                                                                                                                       
JEFE B;3947371.00;1.000;33; ;JEFE DE ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                                 
PROFESIONAL C;3284696.00;1.000;27; ;PROFESIONAL COORDINADOR C DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;3190341.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1309200.00;1.000;27; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1283165.00;1.000;23; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;5255099.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;4361627.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1733669.00;1.000;11; ;PROFESIONAL EN ARQUITECTURA DE SERVICIOS GENERALES                                                                                                                                                                                                              
JEFE A;3939429.00;1.000;32; ;JEFE DE PRESUPUESTO ORDINARIO                                                                                                                                                                                                                                   
PROFESOR INSTRUCTOR                    ;1548267.80;0.875;17; ;PUESTO NO ADMINISTRATIVO
JEFE A;3568202.00;1.000;31; ;JEFE DE CONSTRUCCIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;4041381.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1166901.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;33857.90;0.250;4;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1397519.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1420524.00;1.000;39; ;PENDIENTE                                                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO B;1364685.00;1.000;36; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL B;2154035.90;0.750;37; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESIONAL C;2450346.00;1.000;17; ;PROFESIONAL COORDINADOR DE ATENCIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                         
JEFE A;4443811.00;1.000;37; ;JEFE DE RECLUTAMIENTO Y SELECCIÓN                                                                                                                                                                                                                               
PROFESIONAL A;2589052.00;1.000;31; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
JEFE A;3083217.00;1.000;28; ;NULL
PROFESIONAL B;935937.00;1.000;0; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;314878.45;0.375;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1991717.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;267214.10;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2293338.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;579105.65;0.375;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1689886.00;1.000;21; ;TÉCNICO DE LABORATORIO EN CALIDAD DE MEDICAMENTOS                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;523922.00;0.250;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;190949.80;0.125;12; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3468766.00;1.000;32; ;PROFESIONAL COORDINADOR DE ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                 
PROFESIONAL C;2984693.00;1.000;19; ;PROFESIONAL EN DESARROLLO Y GESTIÓN DE SERVICIOS Y PRODUCTOS.                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;221737.75;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;215174.65;0.125;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;681808.40;0.375;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2052876.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;3244336.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;181488.40;0.125;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3793905.00;1.000;36; ;PROFESIONAL COORDINADOR DE PRUEBA DE APTITUD ACADÉMICA                                                                                                                                                                                                          
PROFESOR ASOCIADO                      ;3472160.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1453378.00;1.000;30; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1304442.00;1.000;23; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;1752985.00;1.000;35; ;NULL
TECNICO ESPECIALIZADO D;1633839.00;1.000;20; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
PROFESOR ADJUNTO                       ;2424735.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1642841.00;1.000;26; ;TÉCNICO EN APOYO AL PROCESO ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2422193.75;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3269685.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1348559.00;1.000;31; ;REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL                                                                                                                                                                                                                
PROFESIONAL C;4041384.00;1.000;35; ;PROFESIONAL EN DESARROLLO Y GESTIÓN DE SERVICIOS Y PRODUCTOS.                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;1108413.00;0.750;8; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1474654.00;1.000;30; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO A;1711871.00;1.000;37; ;NULL
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
JEFE A;3915904.00;1.000;33; ;JEFE DE SEGURIDAD Y TRÁNSITO                                                                                                                                                                                                                                    
PROFESOR INTERINO;2375323.00;1.000;20; ;JEFATURA ADMINISTRATIVA DE ESTACIÓN EXPERIMENTAL                                                                                                                                                                                                                
TECNICO ASISTENCIAL B;1581037.00;1.000;37; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO D;1577792.00;1.000;16; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;522269.15;0.375;16; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2866907.00;1.000;31; ;PROFESIONAL EN GESTIÓN DE LA VALORACIÓN DE RECURSOS Y PROVEEDORES                                                                                                                                                                                               
PROFESOR ADJUNTO                       ;2188097.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1434289.00;1.000;38; ;CHOFER                                                                                                                                                                                                                                                          
